Type,Prompt,Correct Answer,Choices
mcq,"What is ""consonant""?","Harmony or intervals that sound stable, agreeable, or pleasing (the opposite of dissonant).","An example piece suggested for listening to Arab Takht
  Ensembles, demonstrating the use of the maqām and heterophony. | Harmony or intervals that sound stable, agreeable, or pleasing (the opposite of dissonant). | Instruments used for rhythmic emphasis or dramatic effect.
  Specific examples include timpani (kettle drums), bongos... | Melodies that are expressive, song-like (cantabile), long, and sweeping, highly valued in the Romantic aesthetic."
mcq,"Which term means: ""Harmony or intervals that sound stable, agreeable, or pleasing (the opposite of dissonant).""?","consonant","heterophony | consonant | major (typically cheerful) | dramatic events"
mcq,"What is ""construction materials""?","The specific materials (e.g., silk, bamboo) used to build instruments, which defines the timbre and classification of...","Music (like Stravinsky's) that utilizes complex rhythms,
  irregular metres, and metric shifts. | Alterations in dynamics or tempo (e.g., crescendo, rubato) employed specifically to convey emotional effect. | The specific materials (e.g., silk, bamboo) used to build instruments, which defines the timbre and classification of... | Verbalized syllables used to represent the rhythmic beats
  in non-Western music. In Arab iqāʿāt (rhythmic modes), th..."
mcq,"Which term means: ""The specific materials (e.g., silk, bamboo) used to build instruments, which defines the timbre and classification of instruments in AOS 6.""?","construction materials","melodic mode | Imperial March | construction materials | folk dances"
mcq,"What is ""contemporary Argentine Tango""?","Modern forms of the Tango, characterized by reliance on syncopated rhythms (sincopa).","Cited as Chopin’s &Eacute;tude in E, Op 10. No 3, a Romantic piano work emphasizing virtuosity and rich chromatic har... | A Baroque composer cited in wider listening examples. | Modern forms of the Tango, characterized by reliance on syncopated rhythms (sincopa). | Highly detailed rhythmic figures produced by improvising percussionists (e.g., the tablā in Hindustani music)."
mcq,"Which term means: ""Modern forms of the Tango, characterized by reliance on syncopated rhythms (sincopa).""?","contemporary Argentine Tango","fugal | contemporary Argentine Tango | terraced dynamics | vertical stacking of pitches"
mcq,"What is ""continuo""?","Abbreviated term for Basso Continuo.","Modulation between keys a third apart (e.g., C major to E
  major), a hallmark of the Romantic era's expanded harmoni... | Abbreviated term for Basso Continuo. | A musical form based on presenting a main melody (theme)
  followed by a series of sections that alter or elaborate u... | The system that governs pitch relationships, used in the
  Baroque era and defining non-Western traditions, such as t..."
mcq,"Which term means: ""Abbreviated term for Basso Continuo.""?","continuo","horns in F | continuo | colour | compound time signature"
mcq,"What is ""contrabassoon""?","The lowest woodwind instrument, added during the Romantic expansion of the orchestra.","A description of a melody that is lyrical and expressive (cantabile),
  often associated with Romantic melodies. | The specific Italian terminology required for mutes, used
  on brass or string instruments. | The lowest woodwind instrument, added during the Romantic expansion of the orchestra. | Gradual shifts in volume (crescendo and diminuendo), characteristic of the Classical period and contrasting sharply w..."
mcq,"Which term means: ""The lowest woodwind instrument, added during the Romantic expansion of the orchestra.""?","contrabassoon","rhythmic density | expressive intensity | contrabassoon | ritornello theme"
mcq,"What is ""contrapuntal""?","A texture where several independent melodic lines are intricately woven together; synonymous with polyphonic.","A Baroque instrumental form, featuring two solo
  instruments and basso continuo. | A single-movement orchestral piece of Programme Music
  (or tone poem) that follows a descriptive or literary narrati... | In Ritornello Form (Baroque concerto), these are the contrasting sections dominated by the virtuoso solo instrument o... | A texture where several independent melodic lines are intricately woven together; synonymous with polyphonic."
mcq,"Which term means: ""A texture where several independent melodic lines are intricately woven together; synonymous with polyphonic.""?","contrapuntal","Drop | Movement 4 | clear sense of tonality | contrapuntal"
mcq,"What is ""Contrast of Texture""?","The significant change in the density or layering of musical lines between sections, such as the shift from the thick...","Music (like Stravinsky's) that utilizes complex rhythms,
  irregular metres, and metric shifts. | The significant change in the density or layering of musical lines between sections, such as the shift from the thick... | Sacred vocal forms prevalent in the Baroque era. | A large string instrument that became a standard fixture in the expanded Romantic orchestra for adding unique timbre ..."
mcq,"Which term means: ""The significant change in the density or layering of musical lines between sections, such as the shift from the thick tutti to the thin solo texture.""?","Contrast of Texture","tonic key | Contrast of Texture | Suspensions | polyphonic"
mcq,"What is ""conventional groupings""?","Standard ways of organizing beats into regular metric patterns (duple, triple, quadruple).","The compositional practice of using notes outside the established diatonic key, highly valued in the Romantic era for... | Standard ways of organizing beats into regular metric patterns (duple, triple, quadruple). | Forte, Italian dynamic term for loud. | Alternative spelling of color, referring to timbre or tonal effects, especially noted in the expanded orchestration o..."
